game,series_id,year,sheet,event,series,team,map,round,is_offense,win_round,plant,earned_fb,cumu_w,cumu_l,pre_cumu_w,pre_cumu_l,max_cumu_w,starts_as_offense,win_series,is_offense_last_round,n_rounds
Vanguard (2022),5,2022,Champs,2022 - Champs,5,Ultra,Bocage - Vanguard (2022),5,FALSE,FALSE,A,FALSE,2,3,2,2,3,FALSE,FALSE,FALSE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,OpTic,Bocage - Vanguard (2022),6,FALSE,TRUE,NA,TRUE,4,2,3,2,6,TRUE,TRUE,TRUE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,Ultra,Bocage - Vanguard (2022),6,TRUE,FALSE,NA,FALSE,2,4,2,3,3,FALSE,FALSE,FALSE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,OpTic,Bocage - Vanguard (2022),7,TRUE,TRUE,B,TRUE,5,2,4,2,6,TRUE,TRUE,TRUE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,Ultra,Bocage - Vanguard (2022),7,FALSE,FALSE,B,FALSE,2,5,2,4,3,FALSE,FALSE,FALSE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,OpTic,Bocage - Vanguard (2022),8,FALSE,FALSE,NA,FALSE,5,3,5,2,6,TRUE,TRUE,TRUE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,Ultra,Bocage - Vanguard (2022),8,TRUE,TRUE,NA,TRUE,3,5,2,5,3,FALSE,FALSE,FALSE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,OpTic,Bocage - Vanguard (2022),9,TRUE,TRUE,A,TRUE,6,3,5,3,6,TRUE,TRUE,TRUE,9
Vanguard (2022),5,2022,Champs,2022 - Champs,5,Ultra,Bocage - Vanguard (2022),9,FALSE,FALSE,A,FALSE,3,6,3,5,3,FALSE,FALSE,FALSE,9
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),1,FALSE,FALSE,A,FALSE,0,1,0,0,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),1,TRUE,TRUE,A,TRUE,1,0,0,0,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),2,TRUE,FALSE,A,FALSE,0,2,0,1,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),2,FALSE,TRUE,A,TRUE,2,0,1,0,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),3,FALSE,TRUE,A,TRUE,1,2,0,2,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),3,TRUE,FALSE,A,FALSE,2,1,2,0,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),4,TRUE,TRUE,B,TRUE,2,2,1,2,6,FALSE,TRUE,TRUE,11
